Countries or Regions,Currency Code,Price,Proceeds,May Adjust Automatically
United States,USD,14.99,12.74,N
Afghanistan,USD,14.99,12.74,Y
Albania,USD,17.99,12.74,Y
Algeria,USD,14.99,12.74,Y
Angola,USD,14.99,12.74,Y
Anguilla,USD,14.99,12.74,Y
Antigua and Barbuda,USD,14.99,12.74,Y
Argentina,USD,14.99,12.74,Y
Armenia,USD,17.99,12.74,Y
Australia,AUD,22.99,17.77,Y
Austria,EUR,17.99,12.74,Y
Azerbaijan,USD,17.99,12.96,Y
Bahamas,USD,14.99,11.58,Y
Bahrain,USD,14.99,11.58,Y
Barbados,USD,17.99,13.01,Y
Belarus,USD,17.99,12.74,Y
Belgium,EUR,17.99,12.64,Y
Belize,USD,14.99,12.74,Y
Benin,USD,17.99,12.96,Y
Bermuda,USD,14.99,12.74,Y
Bhutan,USD,14.99,12.13,Y
Bolivia,USD,14.99,12.74,Y
Bosnia and Herzegovina,EUR,17.99,13.07,Y
Botswana,USD,14.99,12.74,Y
Brazil,BRL,99.9,74.19,Y
British Virgin Islands,USD,14.99,12.74,Y
Brunei,USD,14.99,12.74,Y
Bulgaria,EUR,17.99,12.74,Y
Burkina Faso,USD,14.99,12.74,Y
Cambodia,USD,14.99,11.58,Y
Cameroon,USD,17.99,12.82,Y
Canada,CAD,19.99,16.99,Y
Cape Verde,USD,14.99,12.74,Y
Cayman Islands,USD,14.99,12.74,Y
Chad,USD,14.99,12.74,Y
Chile,CLP,17990,12850,Y
China mainland,CNY,98.0,82.56,Y
Colombia,COP,69900.0,49928.57,Y
"Congo, Democratic Republic of the",USD,14.99,12.74,Y
"Congo, Republic of the",USD,14.99,12.74,Y
Costa Rica,USD,14.99,12.74,Y
Côte d’Ivoire,USD,17.99,12.96,Y
Croatia,EUR,17.99,12.23,Y
Cyprus,EUR,17.99,12.85,Y
Czech Republic,CZK,399.0,280.29,Y
Denmark,DKK,129.0,87.72,Y
Dominica,USD,14.99,12.74,Y
Dominican Republic,USD,14.99,12.74,Y
Ecuador,USD,14.99,12.74,Y
Egypt,EGP,799.99,596.48,Y
El Salvador,USD,14.99,12.74,Y
Estonia,EUR,17.99,12.33,Y
Eswatini,USD,14.99,12.74,Y
Fiji,USD,14.99,12.74,Y
Finland,EUR,17.99,12.18,Y
France,EUR,17.99,12.74,Y
Gabon,USD,14.99,12.74,Y
Gambia,USD,14.99,12.74,Y
Georgia,USD,17.99,12.96,Y
Germany,EUR,17.99,12.85,Y
Ghana,USD,17.99,12.74,Y
Greece,EUR,17.99,12.33,Y
Grenada,USD,14.99,12.74,Y
Guatemala,USD,14.99,12.74,Y
Guinea-Bissau,USD,14.99,12.74,Y
Guyana,USD,14.99,12.74,Y
Honduras,USD,14.99,12.74,Y
Hong Kong,HKD,118.0,100.3,Y
Hungary,HUF,6990,4678,Y
Iceland,USD,17.99,12.33,Y
India,INR,1499.0,1079.79,Y
Indonesia,IDR,249000,190676,Y
Iraq,USD,14.99,12.74,Y
Ireland,EUR,17.99,12.43,Y
Israel,ILS,49.9,42.42,Y
Italy,EUR,17.99,12.48,Y
Jamaica,USD,14.99,12.74,Y
Japan,JPY,2500,1932,Y
Jordan,USD,14.99,12.74,Y
Kazakhstan,KZT,8990.0,6587.5,Y
Kenya,USD,17.99,13.15,Y
"Korea, Republic of",KRW,22000,17000,Y
Kosovo,EUR,17.99,12.96,Y
Kuwait,USD,14.99,12.74,Y
Kyrgyzstan,USD,14.99,11.38,Y
Laos,USD,14.99,11.58,Y
Latvia,EUR,17.99,12.64,Y
Lebanon,USD,14.99,12.74,Y
Liberia,USD,14.99,12.74,Y
Libya,USD,14.99,12.74,Y
Lithuania,EUR,17.99,12.64,Y
Luxembourg,EUR,17.99,13.07,Y
Macau,USD,14.99,12.74,Y
Madagascar,USD,14.99,12.74,Y
Malawi,USD,14.99,12.74,Y
Malaysia,MYR,69.9,55.01,Y
Maldives,USD,14.99,12.74,Y
Mali,USD,14.99,12.74,Y
Malta,EUR,17.99,12.96,Y
Mauritania,USD,14.99,12.74,Y
Mauritius,USD,17.99,13.3,Y
Mexico,MXN,299.0,219.09,Y
Micronesia,USD,14.99,12.74,Y
Moldova,USD,17.99,12.74,Y
Mongolia,USD,14.99,12.74,Y
Montenegro,EUR,12.99,11.04,Y
Montserrat,USD,14.99,12.74,Y
Morocco,USD,14.99,12.74,Y
Mozambique,USD,14.99,12.74,Y
Myanmar,USD,14.99,12.74,Y
Namibia,USD,14.99,12.74,Y
Nauru,USD,14.99,12.74,Y
Nepal,USD,17.99,13.26,Y
Netherlands,EUR,17.99,12.64,Y
New Zealand,NZD,29.99,22.17,Y
Nicaragua,USD,14.99,12.74,Y
Niger,USD,14.99,12.74,Y
Nigeria,NGN,24900.0,19688.37,Y
North Macedonia,USD,14.99,12.74,Y
Norway,NOK,199.0,135.32,Y
Oman,USD,14.99,12.13,Y
Pakistan,PKR,3900.0,3315.0,Y
Palau,USD,14.99,12.74,Y
Panama,USD,14.99,12.74,Y
Papua New Guinea,USD,14.99,12.74,Y
Paraguay,USD,14.99,12.74,Y
Peru,PEN,69.9,50.35,Y
Philippines,PHP,999.0,758.17,Y
Poland,PLN,69.99,48.37,Y
Portugal,EUR,17.99,12.43,Y
Qatar,QAR,49.99,42.49,Y
Romania,RON,79.99,56.19,Y
Russia,RUB,1290.0,898.77,Y
Rwanda,USD,14.99,12.74,Y
São Tomé and Príncipe,USD,14.99,12.74,Y
Saudi Arabia,SAR,59.99,44.34,Y
Senegal,USD,17.99,12.96,Y
Serbia,EUR,17.99,12.74,Y
Seychelles,USD,14.99,12.74,Y
Sierra Leone,USD,14.99,12.74,Y
Singapore,SGD,19.98,15.58,Y
Slovakia,EUR,17.99,12.43,Y
Slovenia,EUR,17.99,12.53,Y
Solomon Islands,USD,14.99,12.74,Y
South Africa,ZAR,299.99,221.73,Y
Spain,EUR,17.99,12.61,Y
Sri Lanka,USD,14.99,12.74,Y
St. Kitts and Nevis,USD,14.99,12.74,Y
St. Lucia,USD,14.99,12.74,Y
St. Vincent and the Grenadines,USD,14.99,12.74,Y
Suriname,USD,14.99,11.58,Y
Sweden,SEK,199.0,135.32,Y
Switzerland,CHF,14.0,11.01,Y
Taiwan,TWD,490,385,Y
Tajikistan,USD,14.99,11.18,Y
Tanzania,TZS,39900.0,28166.69,Y
Thailand,THB,499.0,396.4,Y
Tonga,USD,14.99,12.74,Y
Trinidad and Tobago,USD,14.99,12.74,Y
Tunisia,USD,14.99,12.74,Y
Türkiye,TRY,799.99,538.33,Y
Turkmenistan,USD,14.99,12.74,Y
Turks and Caicos Islands,USD,14.99,12.74,Y
Uganda,USD,17.99,12.31,Y
Ukraine,USD,17.99,12.74,Y
United Arab Emirates,AED,59.99,48.56,Y
United Kingdom,GBP,14.99,10.59,Y
Uruguay,USD,14.99,12.53,Y
Uzbekistan,USD,14.99,11.38,Y
Vanuatu,USD,14.99,12.74,Y
Venezuela,USD,14.99,12.74,Y
Vietnam,VND,499000,381735,Y
Yemen,USD,14.99,12.74,Y
Zambia,USD,17.99,13.18,Y
Zimbabwe,USD,17.99,12.58,Y
